INSPECTION_YEAR,NTA,NUMBER_OF_INSPECTIONS,BOROUGH
2025,Kensington,254,Brooklyn
2025,Kew Gardens,19,Queens
2025,Kew Gardens Hills,105,Queens
2025,Kingsbridge Heights-Van Cortlandt Village,743,Bronx
2025,Kingsbridge-Marble Hill,116,Bronx
2025,Laurelton,53,Queens
2025,Long Island City-Hunters Point,97,Queens
2025,Longwood,471,Bronx
2025,Lower East Side,1401,Manhattan
2025,Madison,63,Brooklyn
2025,Manhattanville-West Harlem,694,Manhattan
2025,Mapleton-Midwood (West),93,Brooklyn
2025,Marine Park-Mill Basin-Bergen Beach,120,Brooklyn
2025,Marine Park-Plumb Island,0,Brooklyn
2025,Mariner's Harbor-Arlington-Graniteville,75,Staten Island
2025,Maspeth,222,Queens
2025,Melrose,263,Bronx
2025,Middle Village,116,Queens
2025,Midtown South-Flatiron-Union Square,63,Manhattan
2025,Midtown-Times Square,121,Manhattan
2025,Midwood,137,Brooklyn
2025,Morningside Heights,693,Manhattan
2025,Morris Park,91,Bronx
2025,Morrisania,309,Bronx
2025,Mott Haven-Port Morris,305,Bronx
2025,Mount Eden-Claremont (West),2143,Bronx
2025,Mount Hope,2434,Bronx
2025,Murray Hill-Broadway Flushing,117,Queens
2025,Murray Hill-Kips Bay,1481,Manhattan
2025,New Dorp-Midland Beach,80,Staten Island
2025,New Springville-Willowbrook-Bulls Head-Travis,59,Staten Island
2025,North Corona,156,Queens
2025,Norwood,1016,Bronx
2025,Oakland Gardens-Hollis Hills,19,Queens
2025,Oakwood-Richmondtown,26,Staten Island
2025,Ocean Hill,707,Brooklyn
2025,Old Astoria-Hallets Point,45,Queens
2025,Ozone Park,47,Queens
2025,Ozone Park (North),38,Queens
2025,Park Slope,397,Brooklyn
2025,Parkchester,40,Bronx
2025,Pelham Bay-Country Club-City Island,59,Bronx
2025,Pelham Gardens,43,Bronx
2025,Pelham Parkway-Van Nest,358,Bronx
2025,Pomonok-Electchester-Hillcrest,59,Queens
2025,Port Richmond,65,Staten Island
2025,Prospect Heights,1353,Brooklyn
2025,Prospect Lefferts Gardens-Wingate,340,Brooklyn
2025,Prospect Park,2,Brooklyn
2025,Queens Village,83,Queens
2025,Queensboro Hill,30,Queens
2025,Queensbridge-Ravenswood-Dutch Kills,175,Queens
2025,Randall's Island,9,Manhattan
2025,Rego Park,113,Queens
2025,Richmond Hill,73,Queens
2025,Ridgewood,2758,Queens
2025,Rikers Island,0,Bronx
2025,Riverdale-Spuyten Duyvil,114,Bronx
2025,Rockaway Beach-Arverne-Edgemere,50,Queens
2025,Rosebank-Shore Acres-Park Hill,38,Staten Island
2025,Rosedale,26,Queens
2025,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,169,Brooklyn
2025,SoHo-Little Italy-Hudson Square,1068,Manhattan
2025,Soundview-Bruckner-Bronx River,3364,Bronx
2025,Soundview-Clason Point,45,Bronx
2025,South Jamaica,196,Queens
2025,South Ozone Park,207,Queens
2025,South Richmond Hill,68,Queens
2025,South Williamsburg,115,Brooklyn
2025,Spring Creek-Starrett City,39,Brooklyn
2025,Springfield Gardens (North)-Rochdale Village,31,Queens
2025,Springfield Gardens (South)-Brookville,31,Queens
2025,St. Albans,112,Queens
2025,St. George-New Brighton,129,Staten Island
2025,Stuyvesant Town-Peter Cooper Village,12,Manhattan
2025,Sunnyside,342,Queens
2025,Sunnyside Yards (South),3,Queens
2025,Sunset Park (Central),155,Brooklyn
2025,Sunset Park (East)-Borough Park (West),114,Brooklyn
2025,Sunset Park (West),499,Brooklyn
2025,Throgs Neck-Schuylerville,56,Bronx
2025,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,45,Staten Island
2025,Tompkinsville-Stapleton-Clifton-Fox Hills,68,Staten Island
2025,Tottenville-Charleston,17,Staten Island
2025,Tremont,3010,Bronx
2025,Tribeca-Civic Center,181,Manhattan
2025,United Nations,1,Manhattan
2025,University Heights (North)-Fordham,1125,Bronx
2025,University Heights (South)-Morris Heights,2258,Bronx
2025,Upper East Side-Carnegie Hill,561,Manhattan
2025,Upper East Side-Lenox Hill-Roosevelt Island,264,Manhattan
2025,Upper East Side-Yorkville,1778,Manhattan
2025,Upper West Side (Central),2154,Manhattan
2025,Upper West Side-Lincoln Square,1260,Manhattan
2025,Upper West Side-Manhattan Valley,1351,Manhattan
2025,Van Cortlandt Park,0,Bronx
2025,Wakefield-Woodlawn,140,Bronx
2025,Washington Heights (North),820,Manhattan
2025,Washington Heights (South),816,Manhattan
2025,West Farms,907,Bronx
2025,West New Brighton-Silver Lake-Grymes Hill,117,Staten Island
2025,West Village,1255,Manhattan
2025,Westchester Square,36,Bronx
2025,Westerleigh-Castleton Corners,80,Staten Island
2025,Whitestone-Beechhurst,42,Queens
2025,Williamsbridge-Olinville,192,Bronx
2025,Williamsburg,651,Brooklyn
2025,Windsor Terrace-South Slope,125,Brooklyn
2025,Woodhaven,58,Queens
2025,Woodlawn Cemetery,1,Bronx
2025,Woodside,212,Queens
2025,Yankee Stadium-Macombs Dam Park,10,Bronx
2025,Freshkills Park (South),1,Staten Island
2025,Pelham Bay Park,0,Bronx
2025,Soundview Park,0,Bronx
2025,St. Michael's Cemetery,0,Queens
2025,Sunnyside Yards (North),5,Queens
2025,Astoria Park,0,Queens
2025,Brooklyn Navy Yard,1,Brooklyn
2025,Dyker Beach Park,1,Brooklyn
2025,Highland Park-Cypress Hills Cemeteries (South),0,Brooklyn
2025,Lincoln Terrace Park,0,Brooklyn
2025,Flushing Meadows-Corona Park,0,Queens
2025,Holy Cross Cemetery,0,Brooklyn
2025,Mount Olivet & All Faiths Cemeteries,0,Queens
2025,Calvary & Mount Zion Cemeteries,0,Queens
2025,Fort Hamilton,0,Brooklyn
2025,Highbridge Park,0,Manhattan
2025,The Evergreens Cemetery,2,Brooklyn
2025,Rockaway Community Park,0,Queens
2025,St. John Cemetery,0,Queens
2025,Alley Pond Park,0,Queens
2025,Green-Wood Cemetery,4,Brooklyn
